Item,URL,Quantity,Price Per Unit,Total Price,Vendor
HDMI micro connector (option C1),"https://ja.aliexpress.com/item/1005006437300837.html?algo_pvid=3ffd7508-48d0-44e5-a2b0-2bf35ace5d54&algo_exp_id=3ffd7508-48d0-44e5-a2b0-2bf35ace5d54-0&pdp_ext_f=%7B%22order%22:%221619%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!JPY!349!349!!!2.33!2.33!@2102f22c17520443827908224e9e50!12000037165383388!sea!JP!3531018041!X&curPageLogUid=2mPsEbBctH20&utparam-url=scene:search%7Cquery_from:",1,434,434,Aliexpress
HDMI connector (option A1),"https://ja.aliexpress.com/item/1005006437300837.html?algo_pvid=3ffd7508-48d0-44e5-a2b0-2bf35ace5d54&algo_exp_id=3ffd7508-48d0-44e5-a2b0-2bf35ace5d54-0&pdp_ext_f=%7B%22order%22:%221619%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!JPY!349!349!!!2.33!2.33!@2102f22c17520443827908224e9e50!12000037165383388!sea!JP!3531018041!X&curPageLogUid=2mPsEbBctH20&utparam-url=scene:search%7Cquery_from:",1,430,430,Aliexpress
HDMI ribbon 10cm,"https://ja.aliexpress.com/item/1005006437300837.html?algo_pvid=3ffd7508-48d0-44e5-a2b0-2bf35ace5d54&algo_exp_id=3ffd7508-48d0-44e5-a2b0-2bf35ace5d54-0&pdp_ext_f=%7B%22order%22:%221619%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!JPY!349!349!!!2.33!2.33!@2102f22c17520443827908224e9e50!12000037165383388!sea!JP!3531018041!X&curPageLogUid=2mPsEbBctH20&utparam-url=scene:search%7Cquery_from:",1,430,430,Aliexpress
SD card 32GB,"https://ja.aliexpress.com/item/1005008332881986.html?gps-id=pcDetailTopMoreOtherSeller&scm=1007.14452.396806.0&scm_id=1007.14452.396806.0&scm-url=1007.14452.396806.0&pvid=83854437-d41f-425c-86fb-5864e8b08285&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.14452.396806.0,pvid:83854437-d41f-425c-86fb-5864e8b08285,tpp_buckets:668%232846%238110%231995&pdp_ext_f=%7B%22order%22:%22684%22,%22eval%22:%221%22,%22sceneId%22:%2230050%22%7D&pdp_npi=4@dis!JPY!482!241!!!23.14!11.57!@212e520d17523914702244338edeb3!12000044630377517!rec!JP!3531018041!XZ&utparam-url=scene:pcDetailTopMoreOtherSeller%7Cquery_from:&search_p4p_id=202507130024305345271702433471177328_0",1,353,353,Aliexpress
"Ribbon cable P0.5, 50P, 20cm, reverse direction","https://ja.aliexpress.com/item/1005007079319126.html?algo_pvid=1beba47b-7763-440b-b1f7-d44a646c438f&algo_exp_id=1beba47b-7763-440b-b1f7-d44a646c438f-3&pdp_ext_f=%7B%22order%22:%22466%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!JPY!994!292!!!47.72!14.02!@2141131717523909497698505ed7dc!12000039329369712!sea!JP!3531018041!X&curPageLogUid=lEQyIPdIFvVm&utparam-url=scene:search%7Cquery_from:",1,277,277,Aliexpress
100x M2 14mm screw (countersunk head),"https://ja.aliexpress.com/item/33043885403.html?aem_p4p_detail=202507102354573108656293502720000093394&algo_pvid=c8c4112b-1355-4824-9d66-adec67e2899b&algo_exp_id=c8c4112b-1355-4824-9d66-adec67e2899b-1&pdp_ext_f=%7B%22order%22:%221537%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!JPY!241!241!!!1.61!1.61!@2102f0cc17522168969244196e4d1e!67445288548!sea!JP!3531018041!X&curPageLogUid=07e7u3N6Cr7n&utparam-url=scene:search%7Cquery_from:&search_p4p_id=202507102354573108656293502720000093394_1",1,277,277,Aliexpress
100x M1.2 5mm screw (pan head),"https://ja.aliexpress.com/item/33043885403.html?aem_p4p_detail=202507102354573108656293502720000093394&algo_pvid=c8c4112b-1355-4824-9d66-adec67e2899b&algo_exp_id=c8c4112b-1355-4824-9d66-adec67e2899b-1&pdp_ext_f=%7B%22order%22:%221537%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!JPY!241!241!!!1.61!1.61!@2102f0cc17522168969244196e4d1e!67445288548!sea!JP!3531018041!X&curPageLogUid=07e7u3N6Cr7n&utparam-url=scene:search%7Cquery_from:&search_p4p_id=202507102354573108656293502720000093394_1",1,233,233,Aliexpress
USB C PD Trigger 20v,"https://ja.aliexpress.com/item/1005005461879717.html?algo_pvid=160b7a94-8275-453f-b78e-945dcc50267a&algo_exp_id=160b7a94-8275-453f-b78e-945dcc50267a-0&pdp_ext_f=%7B%22order%22:%22709%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!EUR!0.95!0.92!!!1.09!1.06!@212e532617519672477162897ecb92!12000033176730388!sea!FR!3531018041!X&curPageLogUid=sN4QT8z8pVrU&utparam-url=scene:search%7Cquery_from:&gatewayAdapt=glo2jpn",1,229,229,Aliexpress
2S 20A Balanced BMS,"https://ja.aliexpress.com/item/1005006041486774.html?algo_pvid=069cdcfb-530a-4721-8c82-0c5581226f80&algo_exp_id=069cdcfb-530a-4721-8c82-0c5581226f80-2&pdp_ext_f=%7B%22order%22:%22712%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!JPY!201!201!!!9.65!9.65!@212a6e2917520578095735470edaec!12000035452245642!sea!JP!3531018041!X&curPageLogUid=fcRHpeFq4msr&utparam-url=scene:search%7Cquery_from:",1,220,220,Aliexpress
Lipo charger 3A 2S 5-28V input (IP2364),https://ja.aliexpress.com/item/1005007817048390.html?gatewayAdapt=glo2jpn,1,200,200,Aliexpress
